"Month","Year","Area","Value","Date"
10,2024,"Omagh",236,2024-10-01
11,2024,"Armagh",181,2024-11-01
11,2024,"Ballymena",105,2024-11-01
11,2024,"Coleraine",285,2024-11-01
11,2024,"Dungannon",237,2024-11-01
11,2024,"Enniskillen",436,2024-11-01
11,2024,"L'derry/Strabane",100,2024-11-01
11,2024,"Mallusk",66,2024-11-01
11,2024,"Newry",442,2024-11-01
11,2024,"Nt'Ards",211,2024-11-01
11,2024,"Omagh",293,2024-11-01
12,2024,"Armagh",88,2024-12-01
12,2024,"Ballymena",32,2024-12-01
12,2024,"Coleraine",282,2024-12-01
12,2024,"Dungannon",231,2024-12-01
12,2024,"Enniskillen",262,2024-12-01
12,2024,"L'derry/Strabane",52,2024-12-01
12,2024,"Mallusk",40,2024-12-01
12,2024,"Newry",305,2024-12-01
12,2024,"Nt'Ards",202,2024-12-01
12,2024,"Omagh",166,2024-12-01
1,2023,"Armagh",172,2023-01-01
1,2023,"Ballymena",111,2023-01-01
1,2023,"Coleraine",200,2023-01-01
1,2023,"Dungannon",241,2023-01-01
1,2023,"Enniskillen",428,2023-01-01
1,2023,"L'derry/Strabane",63,2023-01-01
1,2023,"Mallusk",42,2023-01-01
1,2023,"Newry",268,2023-01-01
1,2023,"Nt'Ards",94,2023-01-01
1,2023,"Omagh",172,2023-01-01
2,2023,"Armagh",156,2023-02-01
2,2023,"Ballymena",83,2023-02-01
2,2023,"Coleraine",121,2023-02-01
2,2023,"Dungannon",89,2023-02-01
2,2023,"Enniskillen",258,2023-02-01
2,2023,"L'derry/Strabane",41,2023-02-01
2,2023,"Mallusk",28,2023-02-01
2,2023,"Newry",232,2023-02-01
2,2023,"Nt'Ards",114,2023-02-01
2,2023,"Omagh",94,2023-02-01
3,2023,"Armagh",220,2023-03-01
3,2023,"Ballymena",44,2023-03-01
3,2023,"Coleraine",142,2023-03-01
3,2023,"Dungannon",117,2023-03-01
3,2023,"Enniskillen",228,2023-03-01
3,2023,"L'derry/Strabane",78,2023-03-01
3,2023,"Mallusk",52,2023-03-01
3,2023,"Newry",169,2023-03-01
3,2023,"Nt'Ards",231,2023-03-01
3,2023,"Omagh",192,2023-03-01
4,2023,"Armagh",208,2023-04-01
4,2023,"Ballymena",39,2023-04-01
4,2023,"Coleraine",140,2023-04-01
4,2023,"Dungannon",117,2023-04-01
4,2023,"Enniskillen",160,2023-04-01
4,2023,"L'derry/Strabane",110,2023-04-01
4,2023,"Mallusk",10,2023-04-01
4,2023,"Newry",188,2023-04-01
4,2023,"Nt'Ards",99,2023-04-01
4,2023,"Omagh",51,2023-04-01
5,2023,"Armagh",88,2023-05-01
5,2023,"Ballymena",64,2023-05-01
5,2023,"Coleraine",106,2023-05-01
5,2023,"Dungannon",121,2023-05-01
5,2023,"Enniskillen",185,2023-05-01
5,2023,"L'derry/Strabane",22,2023-05-01
5,2023,"Mallusk",32,2023-05-01
5,2023,"Newry",130,2023-05-01
5,2023,"Nt'Ards",135,2023-05-01
5,2023,"Omagh",153,2023-05-01
6,2023,"Armagh",99,2023-06-01
