"Year","Month","Date","Area","Value"
2024,7,2024-07-31,"Nt'Ards",13
2024,7,2024-07-31,"Omagh",8
2024,7,2024-07-31,"Total",133
2024,6,2024-06-30,"Armagh",11
2024,6,2024-06-30,"Ballymena",8
2024,6,2024-06-30,"Coleraine",20
2024,6,2024-06-30,"Dungannon",15
2024,6,2024-06-30,"Enniskillen",14
2024,6,2024-06-30,"L'derry/Strabane",2
2024,6,2024-06-30,"Mallusk",2
2024,6,2024-06-30,"Newry",25
2024,6,2024-06-30,"Nt'Ards",14
2024,6,2024-06-30,"Omagh",17
2024,6,2024-06-30,"Total",128
2024,5,2024-05-31,"Armagh",19
2024,5,2024-05-31,"Ballymena",11
2024,5,2024-05-31,"Coleraine",23
2024,5,2024-05-31,"Dungannon",26
2024,5,2024-05-31,"Enniskillen",30
2024,5,2024-05-31,"L'derry/Strabane",12
2024,5,2024-05-31,"Mallusk",3
2024,5,2024-05-31,"Newry",28
2024,5,2024-05-31,"Nt'Ards",19
2024,5,2024-05-31,"Omagh",22
2024,5,2024-05-31,"Total",193
2024,4,2024-04-30,"Armagh",19
2024,4,2024-04-30,"Ballymena",8
2024,4,2024-04-30,"Coleraine",16
2024,4,2024-04-30,"Dungannon",27
2024,4,2024-04-30,"Enniskillen",24
2024,4,2024-04-30,"L'derry/Strabane",10
2024,4,2024-04-30,"Mallusk",7
2024,4,2024-04-30,"Newry",25
2024,4,2024-04-30,"Nt'Ards",22
2024,4,2024-04-30,"Omagh",29
2024,4,2024-04-30,"Total",187
2024,3,2024-03-31,"Armagh",20
2024,3,2024-03-31,"Ballymena",14
2024,3,2024-03-31,"Coleraine",28
2024,3,2024-03-31,"Dungannon",23
2024,3,2024-03-31,"Enniskillen",23
2024,3,2024-03-31,"L'derry/Strabane",18
2024,3,2024-03-31,"Mallusk",8
2024,3,2024-03-31,"Newry",30
2024,3,2024-03-31,"Nt'Ards",27
2024,3,2024-03-31,"Omagh",26
2024,3,2024-03-31,"Total",217
2024,2,2024-02-29,"Armagh",10
2024,2,2024-02-29,"Ballymena",10
2024,2,2024-02-29,"Coleraine",37
2024,2,2024-02-29,"Dungannon",28
2024,2,2024-02-29,"Enniskillen",24
2024,2,2024-02-29,"L'derry/Strabane",16
2024,2,2024-02-29,"Mallusk",7
2024,2,2024-02-29,"Newry",25
2024,2,2024-02-29,"Nt'Ards",19
2024,2,2024-02-29,"Omagh",27
2024,2,2024-02-29,"Total",203
2024,1,2024-01-31,"Armagh",11
2024,1,2024-01-31,"Ballymena",8
2024,1,2024-01-31,"Coleraine",24
2024,1,2024-01-31,"Dungannon",25
2024,1,2024-01-31,"Enniskillen",27
2024,1,2024-01-31,"L'derry/Strabane",10
2024,1,2024-01-31,"Mallusk",9
2024,1,2024-01-31,"Newry",34
2024,1,2024-01-31,"Nt'Ards",11
2024,1,2024-01-31,"Omagh",19
2024,1,2024-01-31,"Total",178
2023,12,2023-12-31,"Armagh",23
2023,12,2023-12-31,"Ballymena",13
2023,12,2023-12-31,"Coleraine",21
2023,12,2023-12-31,"Dungannon",24
2023,12,2023-12-31,"Enniskillen",29
2023,12,2023-12-31,"L'derry/Strabane",11
2023,12,2023-12-31,"Mallusk",8
2023,12,2023-12-31,"Newry",20
2023,12,2023-12-31,"Nt'Ards",13
2023,12,2023-12-31,"Omagh",19
2023,12,2023-12-31,"Total",181
2023,11,2023-11-30,"Armagh",19
2023,11,2023-11-30,"Ballymena",17
2023,11,2023-11-30,"Coleraine",23
2023,11,2023-11-30,"Dungannon",40
2023,11,2023-11-30,"Enniskillen",30
2023,11,2023-11-30,"L'derry/Strabane",12
2023,11,2023-11-30,"Mallusk",8
2023,11,2023-11-30,"Newry",30
2023,11,2023-11-30,"Nt'Ards",22
2023,11,2023-11-30,"Omagh",24
2023,11,2023-11-30,"Total",225
2023,10,2023-10-31,"Armagh",25
2023,10,2023-10-31,"Ballymena",12
2023,10,2023-10-31,"Coleraine",25
2023,10,2023-10-31,"Dungannon",26
2023,10,2023-10-31,"Enniskillen",22
2023,10,2023-10-31,"L'derry/Strabane",9
2023,10,2023-10-31,"Mallusk",8
2023,10,2023-10-31,"Newry",42
2023,10,2023-10-31,"Nt'Ards",19
2023,10,2023-10-31,"Omagh",19
2023,10,2023-10-31,"Total",207
2023,9,2023-09-30,"Armagh",15
2023,9,2023-09-30,"Ballymena",7
2023,9,2023-09-30,"Coleraine",18
2023,9,2023-09-30,"Dungannon",26
2023,9,2023-09-30,"Enniskillen",30
2023,9,2023-09-30,"L'derry/Strabane",7
2023,9,2023-09-30,"Mallusk",5
2023,9,2023-09-30,"Newry",34
2023,9,2023-09-30,"Nt'Ards",22
2023,9,2023-09-30,"Omagh",16
2023,9,2023-09-30,"Total",180
2023,8,2023-08-31,"Armagh",20
2023,8,2023-08-31,"Ballymena",6
2023,8,2023-08-31,"Coleraine",23
2023,8,2023-08-31,"Dungannon",16
2023,8,2023-08-31,"Enniskillen",26
2023,8,2023-08-31,"L'derry/Strabane",4
2023,8,2023-08-31,"Mallusk",2
2023,8,2023-08-31,"Newry",34
2023,8,2023-08-31,"Nt'Ards",17
2023,8,2023-08-31,"Omagh",13
2023,8,2023-08-31,"Total",161
2023,7,2023-07-31,"Armagh",23
2023,7,2023-07-31,"Ballymena",14
2023,7,2023-07-31,"Coleraine",18
2023,7,2023-07-31,"Dungannon",24
2023,7,2023-07-31,"Enniskillen",25
2023,7,2023-07-31,"L'derry/Strabane",8
2023,7,2023-07-31,"Mallusk",7
2023,7,2023-07-31,"Newry",22
2023,7,2023-07-31,"Nt'Ards",14
2023,7,2023-07-31,"Omagh",18
2023,7,2023-07-31,"Total",173
2023,6,2023-06-30,"Armagh",9
2023,6,2023-06-30,"Ballymena",5
2023,6,2023-06-30,"Coleraine",15
2023,6,2023-06-30,"Dungannon",9
2023,6,2023-06-30,"Enniskillen",13
2023,6,2023-06-30,"L'derry/Strabane",3
2023,6,2023-06-30,"Mallusk",5
2023,6,2023-06-30,"Newry",26
2023,6,2023-06-30,"Nt'Ards",17
2023,6,2023-06-30,"Omagh",10
2023,6,2023-06-30,"Total",112
2023,5,2023-05-31,"Armagh",16
2023,5,2023-05-31,"Ballymena",16
2023,5,2023-05-31,"Coleraine",17
2023,5,2023-05-31,"Dungannon",17
2023,5,2023-05-31,"Enniskillen",35
2023,5,2023-05-31,"L'derry/Strabane",4
2023,5,2023-05-31,"Mallusk",11
2023,5,2023-05-31,"Newry",22
2023,5,2023-05-31,"Nt'Ards",22
2023,5,2023-05-31,"Omagh",26
2023,5,2023-05-31,"Total",186
2023,4,2023-04-30,"Armagh",15
2023,4,2023-04-30,"Ballymena",6
2023,4,2023-04-30,"Coleraine",17
2023,4,2023-04-30,"Dungannon",24
2023,4,2023-04-30,"Enniskillen",31
2023,4,2023-04-30,"L'derry/Strabane",17
2023,4,2023-04-30,"Mallusk",7
2023,4,2023-04-30,"Newry",19
2023,4,2023-04-30,"Nt'Ards",17
2023,4,2023-04-30,"Omagh",12
2023,4,2023-04-30,"Total",165
2023,3,2023-03-31,"Armagh",18
2023,3,2023-03-31,"Ballymena",20
2023,3,2023-03-31,"Coleraine",16
2023,3,2023-03-31,"Dungannon",30
2023,3,2023-03-31,"Enniskillen",27
2023,3,2023-03-31,"L'derry/Strabane",11
2023,3,2023-03-31,"Mallusk",15
2023,3,2023-03-31,"Newry",28
2023,3,2023-03-31,"Nt'Ards",24
2023,3,2023-03-31,"Omagh",28
2023,3,2023-03-31,"Total",217
2023,2,2023-02-28,"Armagh",24
2023,2,2023-02-28,"Ballymena",12
2023,2,2023-02-28,"Coleraine",26
2023,2,2023-02-28,"Dungannon",17
2023,2,2023-02-28,"Enniskillen",29
2023,2,2023-02-28,"L'derry/Strabane",10
2023,2,2023-02-28,"Mallusk",5
2023,2,2023-02-28,"Newry",31
2023,2,2023-02-28,"Nt'Ards",14
2023,2,2023-02-28,"Omagh",20
2023,2,2023-02-28,"Total",188
2023,1,2023-01-31,"Armagh",22
2023,1,2023-01-31,"Ballymena",12
2023,1,2023-01-31,"Coleraine",18
2023,1,2023-01-31,"Dungannon",30
2023,1,2023-01-31,"Enniskillen",42
2023,1,2023-01-31,"L'derry/Strabane",12
2023,1,2023-01-31,"Mallusk",7
2023,1,2023-01-31,"Newry",25
2023,1,2023-01-31,"Nt'Ards",18
2023,1,2023-01-31,"Omagh",18
2023,1,2023-01-31,"Total",204
